GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	14559	0.02943	13097	0.02647
-0.98	-0.9223	11635	0.02352	12125	0.02451
-0.96	-0.8491	10181	0.02058	10867.3333	0.02197
-0.94	-0.7798	10786	0.0218	11078.6667	0.02239
-0.92	-0.7143	12269	0.0248	12359.3333	0.02498
-0.9	-0.6522	14023	0.02834	13968.3333	0.02823
-0.88	-0.5932	15613	0.03156	15488.3333	0.03131
-0.86	-0.5372	16829	0.03402	16819	0.034
-0.84	-0.4839	18015	0.03641	18019.3333	0.03642
-0.82	-0.4331	19214	0.03884	18934.3333	0.03827
-0.8	-0.3846	19574	0.03956	19597	0.03961
-0.78	-0.3383	20003	0.04043	20022.3333	0.04047
-0.76	-0.2941	20490	0.04142	20214	0.04086
-0.74	-0.2518	20149	0.04073	20204.6667	0.04084
-0.72	-0.2113	19975	0.04038	20035	0.0405
-0.7	-0.1724	19981	0.04039	19798.6667	0.04002
-0.68	-0.1351	19440	0.03929	19345.3333	0.0391
-0.66	-0.09934	18615	0.03763	18777	0.03795
-0.64	-0.06494	18276	0.03694	18054.6667	0.03649
-0.62	-0.03185	17273	0.03491	17355	0.03508
-0.6	0	16516	0.03338	16438	0.03323
-0.58	0.03067	15525	0.03138	15455	0.03124
-0.56	0.06024	14324	0.02895	14438.6667	0.02918
-0.54	0.08876	13467	0.02722	13445	0.02718
-0.52	0.1163	12544	0.02535	12524.3333	0.02532
-0.5	0.1429	11562	0.02337	11503.6667	0.02325
-0.48	0.1685	10405	0.02103	10473.3333	0.02117
-0.46	0.1934	9453	0.01911	9372.3333	0.01894
-0.44	0.2174	8259	0.01669	8483.3333	0.01715
-0.42	0.2406	7738	0.01564	7589.6667	0.01534
-0.4	0.2632	6772	0.01369	6807.6667	0.01376
-0.38	0.285	5913	0.01195	6044.3333	0.01222
-0.36	0.3061	5448	0.01101	5330	0.01077
-0.34	0.3266	4629	0.009357	4753	0.009607
-0.32	0.3465	4182	0.008453	4144.3333	0.008377
-0.3	0.3659	3622	0.007321	3642.3333	0.007362
-0.28	0.3846	3123	0.006312	3162.3333	0.006392
-0.26	0.4028	2742	0.005542	2784.6667	0.005629
-0.24	0.4206	2489	0.005031	2440.3333	0.004933
-0.22	0.4378	2090	0.004224	2122.6667	0.004291
-0.2	0.4545	1789	0.003616	1793	0.003624
-0.18	0.4709	1500	0.003032	1517	0.003066
-0.16	0.4867	1262	0.002551	1296.6667	0.002621
-0.14	0.5022	1128	0.00228	1107	0.002238
-0.12	0.5172	931	0.001882	957.6667	0.001936
-0.1	0.5319	814	0.001645	816	0.001649
-0.08	0.5462	703	0.001421	706.3333	0.001428
-0.06	0.5602	602	0.001217	597.6667	0.001208
-0.04	0.5738	488	0.0009864	503.6667	0.001018
-0.02	0.587	421	0.000851	410	0.0008287
0	0.6	321	0.0006488	336.3333	0.0006798
0.02	0.6126	267	0.0005397	283	0.000572
0.04	0.625	261	0.0005276	241	0.0004871
0.06	0.6371	195	0.0003942	217	0.0004386
0.08	0.6489	195	0.0003942	173.6667	0.000351
0.1	0.6604	131	0.0002648	146.3333	0.0002958
0.12	0.6716	113	0.0002284	113.3333	0.0002291
0.14	0.6827	96	0.000194	95	0.000192
0.16	0.6934	76	0.0001536	79.3333	0.0001604
0.18	0.704	66	0.0001334	63.3333	0.000128
0.2	0.7143	48	0.00009702	51.6667	0.0001044
0.22	0.7244	41	0.00008287	37.6667	0.00007614
0.24	0.7343	24	0.00004851	30	0.00006064
0.26	0.7439	25	0.00005053	21.3333	0.00004312
0.28	0.7534	15	0.00003032	21.6667	0.00004379
0.3	0.7627	25	0.00005053	16.3333	0.00003301
0.32	0.7718	9	0.00001819	15.3333	0.00003099
0.34	0.7807	12	0.00002426	9.3333	0.00001887
0.36	0.7895	7	0.00001415	8	0.00001617
0.38	0.798	5	0.00001011	5.3333	0.00001078
0.4	0.8065	4	8.0851E-6	4.6667	9.4327E-6
0.42	0.8147	5	0.00001011	3.6667	7.4114E-6
0.44	0.8228	2	4.0426E-6	3	6.0639E-6
0.46	0.8307	2	4.0426E-6	1.6667	3.3688E-6
0.48	0.8385	1	2.0213E-6	1.3333	2.6950E-6
0.5	0.8462	1	2.0213E-6	0.6667	1.3475E-6
0.52	0.8537	0	0	0.3333	6.7376E-7
0.54	0.861	0	0	0.3333	6.7376E-7
0.56	0.8683	1	2.0213E-6	1.3333	2.6950E-6
0.58	0.8754	3	6.0639E-6	1.6667	3.3688E-6
0.6	0.8824	1	2.0213E-6	1.6667	3.3688E-6
0.62	0.8892	1	2.0213E-6	0.6667	1.3475E-6
0.64	0.896	0	0	0.3333	6.7376E-7
0.66	0.9026	0	0	0	0
0.68	0.9091	0	0	0	0
0.7	0.9155	0	0	0	0
0.72	0.9218	0	0	0	0
0.74	0.928	0	0	0	0
0.76	0.9341	0	0	0	0
0.78	0.9401	0	0	0	0
0.8	0.9459	0	0	0	0
0.82	0.9517	0	0	0	0
0.84	0.9574	0	0	0	0
0.86	0.9631	0	0	0	0
0.88	0.9686	0	0	0	0
0.9	0.974	0	0	0	0
0.92	0.9794	0	0	0	0
0.94	0.9847	0	0	0	0
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
